obsnam,tot,tyr,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,try,tyr_log,try_log,tot_log
17mix35,0.00003,0,-6.215,-5.809,-5.114,-3.963,-2.897,-2.269,-1.675,-1.235,-0.9,-0.659,-0.497,-0.395,-0.335,-0.315,-0.333,-0.377,-0.453,-0.549,-0.658,-0.797,-0.878,-0.954,-1.06,-1.266,-1.52,-1.804,-2.044,-2.269,-2.496,-2.714,0.00003,-8,-4.522878745,-4.522878745
19mix35,0.00003,3E-7,-5.516,-5.294,-4.823,-3.858,-2.827,-2.249,-1.683,-1.218,-0.907,-0.658,-0.501,-0.4,-0.345,-0.323,-0.342,-0.387,-0.461,-0.554,-0.665,-0.803,-0.887,-0.96,-1.072,-1.272,-1.541,-1.814,-2.058,-2.289,-2.496,-2.712,0.0000297,-6.522878745,-4.527243551,-4.522878745
21mix35,0.00003,7.5E-7,-5.519,-5.294,-4.501,-3.863,-2.827,-2.28,-1.716,-1.262,-0.939,-0.694,-0.536,-0.444,-0.384,-0.369,-0.377,-0.421,-0.495,-0.596,-0.706,-0.824,-0.917,-0.988,-1.103,-1.294,-1.565,-1.841,-2.084,-2.32,-2.521,-2.729,0.00002925,-6.124938737,-4.53387413,-4.522878745
23mix35,0.00003,1.5E-6,-5.294,-4.705,-4.262,-3.605,-2.726,-2.239,-1.681,-1.25,-0.925,-0.697,-0.534,-0.437,-0.381,-0.359,-0.369,-0.426,-0.499,-0.591,-0.701,-0.843,-0.925,-0.989,-1.109,-1.31,-1.579,-1.852,-2.09,-2.316,-2.521,-2.743,0.0000285,-5.823908741,-4.54515514,-4.522878745
25mix35,0.00003,3E-6,-4.6,-4.069,-3.764,-3.262,-2.598,-2.191,-1.68,-1.273,-0.958,-0.729,-0.573,-0.47,-0.422,-0.407,-0.422,-0.468,-0.538,-0.639,-0.753,-0.887,-0.968,-1.037,-1.147,-1.357,-1.619,-1.886,-2.141,-2.359,-2.585,-2.792,0.000027,-5.522878745,-4.568636236,-4.522878745
27mix35,0.00003,7.5E-6,-3.812,-3.376,-3.026,-2.726,-2.249,-1.919,-1.541,-1.198,-0.951,-0.764,-0.639,-0.57,-0.528,-0.525,-0.55,-0.606,-0.689,-0.781,-0.909,-1.031,-1.126,-1.191,-1.303,-1.503,-1.784,-2.058,-2.297,-2.507,-2.727,-2.97,0.0000225,-5.124938737,-4.647817482,-4.522878745
29mix35,0.00003,0.000015,-3.053,-2.641,-2.382,-2.194,-1.977,-1.913,-1.728,-1.516,-1.317,-1.158,-1.029,-0.963,-0.919,-0.915,-0.933,-0.981,-1.055,-1.157,-1.271,-1.409,-1.505,-1.546,-1.675,-1.88,-2.14,-2.415,-2.655,-2.879,-3.075,-3.319,0.000015,-4.823908741,-4.823908741,-4.522878745
28mix35,0.00003,0.0000225,-2.626,-2.248,-2.004,-1.839,-1.742,-1.791,-1.786,-1.772,-1.728,-1.666,-1.619,-1.591,-1.575,-1.58,-1.619,-1.671,-1.754,-1.857,-1.982,-2.114,-2.21,-2.258,-2.379,-2.57,-2.858,-3.117,-3.347,-3.568,-3.764,-4.012,7.5E-6,-4.647817482,-5.124938737,-4.522878745
26mix35,0.00003,0.000027,-2.37,-1.99,-1.754,-1.624,-1.56,-1.655,-1.772,-1.899,-1.982,-2.074,-2.157,-2.211,-2.267,-2.317,-2.369,-2.46,-2.545,-2.668,-2.807,-2.951,-3.03,-3.075,-3.214,-3.376,-3.685,-3.907,-4.129,-4.335,-4.501,-4.599,3E-6,-4.568636236,-5.522878745,-4.522878745
24mix35,0.00003,0.0000285,-2.326,-1.952,-1.702,-1.583,-1.507,-1.629,-1.771,-1.945,-2.115,-2.297,-2.448,-2.585,-2.696,-2.808,-2.913,-3.03,-3.163,-3.265,-3.376,-3.534,-3.642,-3.721,-3.858,-4.012,-4.262,-4.501,-4.704,-4.822,-4.956,-5.292,1.5E-6,-4.54515514,-5.823908741,-4.522878745
22mix35,0.00003,0.00002925,-2.277,-1.912,-1.677,-1.556,-1.487,-1.63,-1.791,-1.969,-2.203,-2.437,-2.655,-2.844,-3.032,-3.214,-3.378,-3.503,-3.646,-3.812,-3.958,-4.129,-4.193,-4.262,-4.415,-4.501,-4.823,-5.111,-5.113,-5.294,-5.29,-5.294,7.5E-7,-4.53387413,-6.124938737,-4.522878745
20mix35,0.00003,0.0000297,-2.266,-1.912,-1.688,-1.546,-1.5,-1.64,-1.801,-2.011,-2.277,-2.545,-2.823,-3.094,-3.376,-3.572,-3.812,-4.012,-4.262,-4.415,-4.501,-4.705,-4.823,-4.823,-4.956,-5.111,-5.111,-5.516,-5.524,-5.806,-5.806,-5.806,3E-7,-4.527243551,-6.522878745,-4.522878745
18mix35,0.00003,0.00003,-2.258,-1.9,-1.666,-1.524,-1.479,-1.621,-1.803,-2.043,-2.308,-2.626,-2.895,-3.214,-3.568,-3.907,-4.193,-4.423,-4.825,-5.111,-5.111,-5.516,-5.516,-5.516,-5.516,-5.806,-5.806,-5.806,-5.806,-5.806,-6.21,-6.215,0,-4.522878745,-8,-4.522878745
trp2,0.0001,0,-5.922,-5.435,-4.366,-3.149,-2.124,-1.392,-0.78,-0.336,-0.002,0.233,0.391,0.49,0.54,0.563,0.541,0.488,0.414,0.313,0.203,0.063,-0.028,-0.097,-0.215,-0.411,-0.678,-0.953,-1.208,-1.418,-1.651,-1.855,0.0001,-8,-4,-4
mix5,0.0001,0.00001,-3.932,-3.411,-2.964,-2.462,-1.836,-1.308,-0.796,-0.39,-0.076,0.147,0.294,0.394,0.446,0.46,0.443,0.389,0.314,0.22,0.099,-0.033,-0.128,-0.197,-0.308,-0.506,-0.785,-1.05,-1.313,-1.529,-1.745,-1.97,0.00009,-5,-4.045757491,-4
mix4,0.0001,0.000025,-2.996,-2.479,-2.099,-1.803,-1.459,-1.126,-0.761,-0.424,-0.144,0.06,0.195,0.288,0.337,0.354,0.33,0.274,0.206,0.105,-0.009,-0.148,-0.242,-0.306,-0.424,-0.626,-0.892,-1.172,-1.425,-1.633,-1.877,-2.071,0.000075,-4.602059991,-4.124938737,-4
mix3,0.0001,0.00005,-2.128,-1.661,-1.344,-1.16,-0.996,-0.877,-0.696,-0.495,-0.313,-0.165,-0.042,0.032,0.069,0.079,0.05,-0.006,-0.082,-0.179,-0.295,-0.436,-0.523,-0.584,-0.706,-0.898,-1.178,-1.446,-1.696,-1.922,-2.128,-2.35,0.00005,-4.301029996,-4.301029996,-4
mix6,0.0001,0.00009,-1.14,-0.757,-0.497,-0.362,-0.329,-0.412,-0.513,-0.647,-0.772,-0.877,-0.958,-1.04,-1.104,-1.162,-1.233,-1.317,-1.425,-1.543,-1.661,-1.804,-1.877,-1.959,-2.034,-2.249,-2.502,-2.732,-2.964,-3.142,-3.313,-3.576,1E-5,-4.045757491,-5,-4
